orig,dest
30368,29700
30368,31197
30368,30368
13986,16126
13990,13990
13990,16126
13990,4820
13990,9217
13990,21591
7793,7793
30378,30223
30378,31200
30378,31197
30378,30378
30378,21871
13995,16126
30383,29700
30383,31197
30383,31175
30383,30383
22016,22016
22016,21871
22016,21591
14016,14016
14016,16126
14016,4820
14016,4627
14016,17432
14020,14020
14020,14020
14020,14020
14020,16126
14020,4820
14023,16126
14023,4627
14023,11596
14025,14025
22235,29700
22235,31197
22235,31175
22235,22235
5852,5852
14047,14047
14048,14048
3707,3707
22822,22822
14054,14054
14054,16126
30439,30439
14057,14057
22258,31197
22258,22258
30464,30223
30464,30464
14084,17432
25558,25558
25558,21871
14093,14093
14093,17481
14101,17432
14101,21871
22306,22306
30507,30507
5940,5940
5940,31197
13019,13019
22347,22347
5968,4627
14161,14161
14161,16126
14164,16126
14164,4820
14171,14171
14171,16126
14171,18284
30556,27470
30556,30556
30556,31175
14182,16126
22381,31197
22381,22381
14211,14211
14211,16126
14211,4820
14215,18284
22418,31197
14228,14228
14237,14237
14237,16126
14237,14237
14237,14237
14237,4627
6047,6047
6056,6056
6057,6057
30647,31197
30647,30647
22456,22456
22458,24060
22458,29080
22458,29016
22458,23420
22458,24912
22458,18700
22458,30867
22458,28773
22458,31200
22458,22725
22458,22583
22458,29132
22458,22458
22458,22732
22458,27309
22458,26812
22458,29700
22458,25621
22458,30666
22458,30747
22458,22686
22458,31175
22458,26226
22458,27858
6081,6081
30666,29700
30666,31197
30666,30666
30666,31175
30666,21871
30671,31175
30671,30671
14288,14288
