orig,dest,trips
13930,13587,3.0
13930,17982,2.0
13930,14288,3.0
13930,15297,1.0
13930,15451,2.0
13930,13832,1.0
13930,15933,1.0
13930,13995,3.0
13930,13978,1.0
13930,18007,1.0
13930,14146,1.0
13930,14228,1.0
13930,14023,1.0
13930,13605,1.0
13930,13544,1.0
13930,15667,1.0
13930,13559,1.0
13930,13920,1.0
13930,13965,2.0
13930,13986,3.0
13930,13884,3.0
13930,18170,1.0
13930,15425,1.0
13930,13836,1.0
13930,13616,2.0
13930,15919,1.0
13930,15457,1.0
13930,13944,2.0
13930,13532,3.0
13930,17491,1.0
13930,17130,1.0
13930,18165,1.0
13930,16565,1.0
13930,13624,3.0
13930,13533,1.0
13930,13533,1.0
13930,13689,1.0
13930,17056,1.0
13930,17057,1.0
13930,13807,1.0
13930,15439,1.0
13930,14020,1.0
13930,15950,1.0
13930,17185,2.0
13930,13803,1.0
13930,13604,1.0
13930,15385,1.0
13930,13868,1.0
13930,3335,1.0
13930,16836,1.0
13930,16435,1.0
13930,3241,1.0
13930,5464,1.0
13930,4820,2.0
13930,5395,1.0
13930,4233,1.0
13930,3818,1.0
13930,4024,1.0
13930,12429,1.0
13930,18284,1.0
13930,17433,1.0
13930,16843,1.0
13930,11921,1.0
13930,15814,1.0
13930,13073,1.0
13930,14519,1.0
14093,13569,1.0
14093,13641,1.0
14093,13930,1.0
14093,14093,1.0
14093,14211,1.0
14093,14142,1.0
14093,13990,3.0
14093,16768,1.0
14093,16787,1.0
14093,13889,1.0
14093,13710,1.0
14093,13934,1.0
14093,13579,2.0
14093,14125,2.0
14093,13795,2.0
14093,14124,1.0
14093,18011,4.0
14093,16521,1.0
14093,18011,1.0
14093,15994,3.0
14093,16959,3.0
14093,14182,8.0
14093,14048,3.0
14093,13799,3.0
14093,14047,5.0
14093,13584,1.0
14093,18010,5.0
14093,14084,7.0
14093,17997,2.0
14093,13342,2.0
14093,15367,3.0
14093,15368,6.0
14093,13757,3.0
14093,13588,7.0
14093,14054,2.0
14093,15302,3.0
14093,15301,5.0
14093,13587,1.0
14093,17982,3.0
14093,14260,4.0
14093,14288,10.0
14093,15297,9.0
14093,18006,3.0
14093,15451,1.0
14093,16353,5.0
14093,13832,4.0
