LINK,A,B,a0,a1,a2,a3,a4
41235,19216,21870,1.28713188373,0.0,0.0,0.0,2.94268834873e-13
41236,19217,21868,1.28472074238,0.0,0.0,0.0,2.9371759085e-13
41237,19217,19212,23.4948543165,0.0,0.0,0.0,5.3714801821e-12
41238,19217,20674,153.101547508,0.0,0.0,0.0,3.50026400338e-11
41239,19218,21665,1.39176083304,0.0,0.0,0.0,3.18189490865e-13
41240,19218,18985,106.996276369,0.0,0.0,0.0,2.44618830291e-11
41241,19219,21428,1.11164156534,0.0,0.0,0.0,2.54147591526e-13
41242,19219,20752,3.62707409858,0.0,0.0,0.0,8.29235047687e-13
41243,19220,20865,140.278512697,0.0,0.0,0.0,3.20709905571e-11
41244,19220,19205,9.85344781549,0.0,0.0,0.0,2.25273155361e-12
41245,19221,20025,3.22791369826,0.0,0.0,0.0,7.37977525894e-13
41246,19221,19868,110.491541877,0.0,0.0,0.0,2.5260983511e-11
41247,19221,19248,96.4088823344,0.0,0.0,0.0,2.20413539859e-11
41248,19222,20707,1.49030487042,0.0,0.0,0.0,3.40718991865e-13
41249,19222,20706,7.89873778627,0.0,0.0,0.0,1.80583854282e-12
41250,19222,19094,116.020958327,0.0,0.0,0.0,2.65251390779e-11
41251,19223,21160,1.4665186175,0.0,0.0,0.0,3.35280891062e-13
41252,19223,21162,26.7099640381,0.0,0.0,0.0,6.10653041567e-12
41253,19223,21270,103.738244243,0.0,0.0,0.0,2.37170197171e-11
41254,19224,21242,1.39438310372,0.0,0.0,0.0,3.1878900405e-13
41255,19224,21160,129.168319027,0.0,0.0,0.0,2.95309371347e-11
41256,19224,19834,6.92582826434,0.0,0.0,0.0,1.03887423965e-12
41257,19225,20980,19.9694603472,0.0,0.0,0.0,4.56549162031e-12
41258,19225,19407,33.7286234205,0.0,0.0,0.0,7.71116219034e-12
41259,19225,19226,35.5193599886,0.0,0.0,0.0,8.12056698413e-12
41260,19226,19504,46.5871413126,0.0,0.0,0.0,1.06509239398e-11
41261,19226,19352,114.473273377,0.0,0.0,0.0,2.61713016408e-11
41262,19226,19225,35.5193599886,0.0,0.0,0.0,8.12056698413e-12
41263,19227,21115,98.0156828786,0.0,0.0,0.0,2.24087066481e-11
41264,19227,19472,37.4934498935,0.0,0.0,0.0,8.57189069354e-12
